Category,Jurisdiction,Name,Type,Status/Effective Dates,Core Requirements (very short),Who it applies to,Official Source
Law/Treaty,EU,EU Artificial Intelligence Act (Regulation (EU) 2024/1689),Binding law,"In force Aug 1, 2024; prohibited uses & AI literacy from Feb 2, 2025; GPAI obligations from Aug 2, 2025; most high‑risk obligations from Aug 2, 2026–2027",Risk tiers; provider QMS; technical docs; logging; transparency; CE marking; FRIA for deployers in public services; conformity assessment,"Providers, deployers, importers, distributors in EU market",https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai
Law/Treaty,Council of Europe (multinational),"Framework Convention on AI, Human Rights, Democracy & Rule of Law",Binding treaty (on ratification),"Opened for signature Sept 5, 2024","Requires lifecycle governance consistent with human rights, democracy, rule of law",States that sign/ratify; applies via domestic law,https://www.coe.int/en/web/artificial-intelligence/the-framework-convention-on-artificial-intelligence
Law,USA (Colorado),Colorado AI Act (SB24‑205),State law,"Effective Feb 1, 2026",Reasonable care; risk management; impact assessments; notice & disclosure; incident reporting re algorithmic discrimination,Developers & deployers of high‑risk AI,https://leg.colorado.gov/bills/sb24-205
Law,USA (NYC),Local Law 144 (Automated Employment Decision Tools),City law,Bias audit & notices required since 2023; enforcement ongoing,Annual independent bias audit; public summary; candidate notice; opt‑out for data collection,Employers & agencies using AEDTs for NYC positions,https://www.nyc.gov/site/dca/about/automated-employment-decision-tools.page
Law/Reg,USA (California),"CCPA/CPRA ADMT, Risk Assessments & Cybersecurity Audits Regulations",State regulation,"Adopted Jul 24, 2025; effective Jan 1, 2026 (with phase‑ins)",Consumer rights & opt‑out for ADMT; risk assessments; annual cybersecurity audits,Covered businesses under CCPA,https://cppa.ca.gov/announcements/2025/20250923.html
Law,Brazil,LGPD Article 20 (Automated Decisions),National law,In force,Right to explanation & human review of automated decisions,Controllers processing Brazilians’ data,https://lgpd-brazil.info/chapter_03/article_20
Law/Guidance,China (PRC),Interim Measures for Generative AI Services,National regulation,"Effective Aug 15, 2023","Safety, security, data governance, labeling, truthfulness; filings",Providers of generative AI services to public in mainland China,https://www.chinalawtranslate.com/en/generative-ai-interim/
Gov Guidance,USA (Federal),"OMB M‑24‑10 – Advancing Governance, Innovation & Risk Mgmt for Agency Use of AI",Executive guidance,"Mar 28, 2024",Agency AI inventories; risk assessments; impact levels; safety guardrails for rights/safety‑impacting uses,US Federal agencies,https://www.whitehouse.gov/wp-content/uploads/2024/03/M-24-10-Advancing-Governance-Innovation-and-Risk-Management-for-Agency-Use-of-Artificial-Intelligence.pdf
Gov Guidance,USA (Federal),NIST AI RMF 1.0,Framework (voluntary),Jan 2023; ongoing resources,"Govern, Map, Measure, Manage; risk‑based controls & profiles",Cross‑sector,https://www.nist.gov/itl/ai-risk-management-framework
Gov Guidance,USA (Federal),NIST Generative AI Profile (AI RMF Companion),Framework/profile,2024,Cross‑sector profile tailoring AI RMF 1.0 to GenAI risks,Cross‑sector,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf
Gov Guidance,USA (Federal),FDA PCCP for AI‑enabled Devices,Final guidance,Dec 2024; updates 2025,Predetermined Change Control Plans for AI/ML devices; lifecycle & marketing submission recommendations,Medical device manufacturers,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/marketing-submission-recommendations-predetermined-change-control-plan-artificial-intelligence
Gov Guidance,USA (Federal),FTC enforcement & guidance on AI unfair/deceptive practices,Enforcement/guidance,2024–2025 actions,"Crackdown on deceptive AI claims, fake reviews, unfair data practices",Any commercial AI providers,https://www.ftc.gov/news-events/news/press-releases/2024/09/ftc-announces-crackdown-deceptive-ai-claims-schemes
Gov Guidance,USA (Federal),EEOC Technical Assistance on AI & Title VII,Guidance,May 2023,Employer use of AI must avoid disparate impact; auditing & vendor oversight,US employers,https://www.eeoc.gov/laws/guidance/select-technical-assistance-documents
Principles,OECD,OECD AI Principles (updated 2024),International soft law,2019; updated May 2024,Human‑centered values; transparency; robustness; accountability; policy recommendations,Adhering countries,https://oecd.ai/en/ai-principles
Principles,UNESCO,Recommendation on the Ethics of AI,International soft law,Nov 2021,"Human rights, human oversight, transparency, fairness",UNESCO member states,https://www.unesco.org/en/artificial-intelligence/recommendation-ethics
Framework,Singapore,Model AI Governance Framework (2019/2020),Nonbinding framework,"2nd ed. Jan 21, 2020","Internal governance, human involvement, operations management, stakeholder comms",Private sector orgs,https://www.pdpc.gov.sg/help-and-resources/2020/01/model-ai-governance-framework
Framework,Singapore,Model AI Governance Framework for Generative AI (Final),Nonbinding framework,"May 30, 2024","Nine dimensions incl. accountability, data, testing/assurance, content provenance, incident reporting",AI developers & deployers,https://aiverifyfoundation.sg/wp-content/uploads/2024/05/Model-AI-Governance-Framework-for-Generative-AI-May-2024-1-1.pdf
Sectoral Framework,Singapore (Finance),MAS FEAT Principles,Sector guidance,"Nov 12, 2018","Fairness, Ethics, Accountability, Transparency for AI in finance",Financial institutions,https://www.mas.gov.sg/publications/monographs-or-information-paper/2018/feat
Standard,ISO/IEC,ISO/IEC 42001:2023 — AI Management System (AIMS),International standard,Dec 2023,Management system requirements for governing AI (PDCA cycle),Any org; certifiable,https://www.iso.org/standard/42001
Standard,ISO/IEC,ISO/IEC 42006:2025 — Requirements for AIMS Certification Bodies,International standard,Jul 2025,Rules for bodies auditing/certifying against 42001,Certification bodies & accreditors,https://www.iso.org/standard/42006
Standard,ISO/IEC,ISO/IEC 23894:2023 — AI Risk Management,International standard,2023,"Processes to identify, assess, treat, monitor AI risk (maps to ISO 31000)",Any org,https://www.iso.org/standard/77304.html
Technical Report,ISO/IEC,TR 24028:2020 — Trustworthiness in AI (overview),Technical report,2020,Survey of trustworthiness topics & mitigations,Any org,https://www.iso.org/standard/77608.html
Standard,ISO/IEC,ISO/IEC 38507:2022 — Governance implications of AI,International standard,2022,Board‑level governance guidance for AI use,"Governing bodies, executives",https://www.iso.org/standard/56641.html
Technical Spec,ISO/IEC,TS 6254:2025 — Explainability & Interpretability Objectives,Technical specification,Sept 2025,Objectives & approaches for explainability across lifecycle,Any org,https://www.iso.org/standard/82148.html
Sectoral,USA Banking,SR 11‑7 / OCC 2011‑12 / FDIC FIL‑22‑2017 — Model Risk Management,Supervisory guidance,2011; still applicable,Model development/use; independent validation; governance; effective challenge,Banks & similar FIs,https://www.federalreserve.gov/supervisionreg/srletters/sr1107a1.pdf
Privacy/Data,EU,GDPR Art. 22 & Art. 35 DPIA,Binding law,In force since 2018,Rights re automated decisions; DPIA for high‑risk processing (including profiling),Controllers/processors in EU scope,https://gdpr-info.eu/art-22-gdpr/
